datetime,open,high,low,close,volume
2025-04-29 13:48:00,210.85,211.05,210.77,211.02,95707.0
2025-04-29 13:49:00,211.0202,211.1,210.8,210.83,82150.0
2025-04-29 13:50:00,210.83,211.2,210.7,210.9,113318.0
2025-04-29 13:51:00,210.91,211.0152,210.81,210.81,57617.0
2025-04-29 13:52:00,210.85,210.99,210.72,210.99,103372.0
2025-04-29 13:53:00,211.0,211.25,210.95,211.11,102724.0
2025-04-29 13:54:00,211.0905,211.1197,210.94,211.0488,64032.0
2025-04-29 13:55:00,211.0699,211.0699,210.7601,210.8997,92057.0
2025-04-29 13:56:00,210.875,211.04,210.84,210.945,62658.0
2025-04-29 13:57:00,210.945,210.98,210.78,210.82,75245.0
2025-04-29 13:58:00,210.8,210.9166,210.64,210.67,105490.0
2025-04-29 13:59:00,210.655,210.8,210.53,210.8,102215.0
2025-04-29 14:00:00,210.81,210.83,210.33,210.51,181290.0
2025-04-29 14:01:00,210.53,210.93,210.4,210.89,59600.0
2025-04-29 14:02:00,210.88,210.91,210.6,210.795,57921.0
2025-04-29 14:03:00,210.76,210.92,210.68,210.895,56343.0
2025-04-29 14:04:00,210.88,211.0,210.85,210.89,58271.0
2025-04-29 14:05:00,210.88,211.5,210.84,211.3999,125800.0
2025-04-29 14:06:00,211.365,211.84,211.36,211.7,160559.0
2025-04-29 14:07:00,211.71,211.8,211.5301,211.7108,75656.0
2025-04-29 14:08:00,211.725,211.84,211.65,211.815,77814.0
2025-04-29 14:09:00,211.82,211.84,211.47,211.51,107162.0
2025-04-29 14:10:00,211.51,211.84,211.51,211.71,97066.0
2025-04-29 14:11:00,211.71,211.85,211.64,211.72,125295.0
2025-04-29 14:12:00,211.72,211.8,211.6,211.74,82500.0
2025-04-29 14:13:00,211.76,211.97,211.6701,211.85,170582.0
2025-04-29 14:14:00,211.86,212.109,211.81,212.02,282855.0
2025-04-29 14:15:00,212.015,212.04,211.81,211.88,101512.0
2025-04-29 14:16:00,211.875,211.905,211.55,211.78,99853.0
2025-04-29 14:17:00,211.76,212.24,211.69,211.825,141060.0
2025-04-29 14:18:00,211.825,211.94,211.55,211.55,93730.0
2025-04-29 14:19:00,211.55,211.575,211.15,211.26,169413.0
2025-04-29 14:20:00,211.24,211.34,211.05,211.14,105830.0
2025-04-29 14:21:00,211.12,211.21,210.98,211.13,104306.0
2025-04-29 14:22:00,211.12,211.41,211.05,211.23,75062.0
2025-04-29 14:23:00,211.21,211.25,211.08,211.22,46600.0
2025-04-29 14:24:00,211.21,211.24,211.02,211.0812,44787.0
2025-04-29 14:25:00,211.073,211.22,210.94,211.15,64351.0
2025-04-29 14:26:00,211.1221,211.1221,210.96,210.96,53012.0
2025-04-29 14:27:00,210.96,210.96,210.7,210.72,84357.0
2025-04-29 14:28:00,210.72,210.95,210.7002,210.8,65116.0
2025-04-29 14:29:00,210.8,210.975,210.72,210.95,50880.0
2025-04-29 14:30:00,210.96,211.1599,210.88,211.03,68552.0
2025-04-29 14:31:00,211.045,211.045,210.84,210.95,58028.0
2025-04-29 14:32:00,210.925,211.02,210.85,210.97,72753.0
2025-04-29 14:33:00,210.9865,211.2,210.95,211.1,40354.0
2025-04-29 14:34:00,211.1,211.2,211.01,211.1,45136.0
2025-04-29 14:35:00,211.1,211.34,211.02,211.3,45192.0
2025-04-29 14:36:00,211.295,211.38,211.2235,211.3,57563.0
